time,open,high,low,close,tick_volume,spread,real_volume
2021-03-03 07:00:00,1.20886,1.20892,1.2084,1.2084,1110,0,0
2021-03-03 08:00:00,1.20841,1.20858,1.20792,1.20823,1895,0,0
2021-03-03 09:00:00,1.20823,1.2107700000000001,1.20807,1.20937,4504,0,0
2021-03-03 10:00:00,1.20937,1.2094,1.20742,1.20755,5306,0,0
2021-03-03 11:00:00,1.20755,1.21132,1.2075,1.21014,6410,0,0
2021-03-03 12:00:00,1.21014,1.21031,1.20822,1.20833,4389,0,0
2021-03-03 13:00:00,1.20833,1.20846,1.20597,1.20622,4621,0,0
2021-03-03 14:00:00,1.20622,1.20682,1.2058200000000001,1.20632,3523,0,0
2021-03-03 15:00:00,1.20632,1.20651,1.2043300000000001,1.20546,7106,0,0
2021-03-03 16:00:00,1.20546,1.2062599999999999,1.20426,1.20538,8451,0,0
2021-03-03 17:00:00,1.20538,1.20753,1.20468,1.20728,10793,0,0
2021-03-03 18:00:00,1.20728,1.20806,1.20715,1.20732,5723,0,0
2021-03-03 19:00:00,1.20733,1.20734,1.20654,1.20702,4143,0,0
2021-03-03 20:00:00,1.20702,1.20784,1.20685,1.20728,3328,0,0
2021-03-03 21:00:00,1.20728,1.20728,1.20642,1.20652,3750,0,0
2021-03-03 22:00:00,1.2065299999999999,1.20731,1.20614,1.20622,3417,0,0
2021-03-03 23:00:00,1.20622,1.20662,1.2061600000000001,1.20623,1446,0,0
2021-03-04 00:00:00,1.20628,1.20654,1.20614,1.20627,212,0,0
2021-03-04 01:00:00,1.20627,1.20663,1.20435,1.20466,1874,0,0
2021-03-04 02:00:00,1.20466,1.20618,1.20463,1.20596,2207,0,0
2021-03-04 03:00:00,1.20596,1.2062,1.20468,1.2062,2527,0,0
2021-03-04 04:00:00,1.2062,1.2063,1.20493,1.2054,2195,0,0
2021-03-04 05:00:00,1.20541,1.20553,1.20487,1.20488,1774,0,0
2021-03-04 06:00:00,1.20489,1.20547,1.20436,1.20546,2248,0,0
2021-03-04 07:00:00,1.20546,1.20596,1.2052100000000001,1.20564,2379,0,0
2021-03-04 08:00:00,1.20564,1.20614,1.20551,1.20614,2413,0,0
2021-03-04 09:00:00,1.20613,1.20625,1.20516,1.20522,3812,0,0
2021-03-04 10:00:00,1.20522,1.20579,1.20364,1.20407,6946,0,0
2021-03-04 11:00:00,1.20407,1.20419,1.20266,1.20321,5425,0,0
2021-03-04 12:00:00,1.20321,1.20488,1.2031399999999999,1.20488,5281,0,0
2021-03-04 13:00:00,1.20488,1.20492,1.2034,1.20347,4233,0,0
2021-03-04 14:00:00,1.20347,1.20402,1.20276,1.20322,4352,0,0
2021-03-04 15:00:00,1.20322,1.20384,1.20282,1.20358,5153,0,0
2021-03-04 16:00:00,1.20357,1.20426,1.20331,1.20382,5766,0,0
2021-03-04 17:00:00,1.20382,1.20444,1.20224,1.2039900000000001,8847,0,0
2021-03-04 18:00:00,1.204,1.20536,1.20388,1.20438,6093,0,0
2021-03-04 19:00:00,1.20439,1.20499,1.19901,1.19941,15538,0,0
2021-03-04 20:00:00,1.19941,1.1999900000000001,1.19655,1.19683,12890,0,0
2021-03-04 21:00:00,1.19683,1.19792,1.19645,1.19661,8493,0,0
2021-03-04 22:00:00,1.1966,1.19725,1.19616,1.19706,5417,0,0
2021-03-04 23:00:00,1.19706,1.19747,1.19679,1.19721,1930,0,0
2021-03-05 00:00:00,1.19647,1.19767,1.19647,1.19744,828,0,0
2021-03-05 01:00:00,1.19751,1.19751,1.19607,1.19672,2478,0,0
2021-03-05 02:00:00,1.19672,1.19687,1.19562,1.19666,2903,0,0
2021-03-05 03:00:00,1.19666,1.19666,1.1953,1.1960600000000001,4152,0,0
2021-03-05 04:00:00,1.1960600000000001,1.19638,1.19516,1.1963300000000001,2808,0,0
2021-03-05 05:00:00,1.1963300000000001,1.19689,1.19584,1.19625,2103,0,0
2021-03-05 06:00:00,1.19625,1.19636,1.19553,1.19564,2160,0,0
2021-03-05 07:00:00,1.19564,1.19619,1.19562,1.19596,2014,0,0
2021-03-05 08:00:00,1.19596,1.19599,1.19529,1.19537,2382,0,0
2021-03-05 09:00:00,1.19535,1.1961,1.19486,1.19503,5839,0,0
2021-03-05 10:00:00,1.19502,1.19526,1.19141,1.19268,8326,0,0
2021-03-05 11:00:00,1.19268,1.19384,1.19208,1.19276,7103,0,0
2021-03-05 12:00:00,1.1927699999999999,1.19425,1.19271,1.19303,4902,0,0
2021-03-05 13:00:00,1.19303,1.19394,1.19228,1.19318,5260,0,0
2021-03-05 14:00:00,1.19318,1.19433,1.193,1.19353,5070,0,0
2021-03-05 15:00:00,1.19353,1.19413,1.1892800000000001,1.19179,12120,0,0
2021-03-05 16:00:00,1.19179,1.19462,1.19088,1.19157,14742,0,0
2021-03-05 17:00:00,1.19158,1.19289,1.19063,1.19069,14808,0,0
2021-03-05 18:00:00,1.19069,1.19174,1.19062,1.19138,10301,0,0
2021-03-05 19:00:00,1.19138,1.19196,1.19053,1.1912,6640,0,0
2021-03-05 20:00:00,1.1912,1.19183,1.19052,1.19132,4874,0,0
2021-03-05 21:00:00,1.19132,1.1918,1.19076,1.19125,3173,0,0
2021-03-05 22:00:00,1.19125,1.19228,1.19107,1.19161,2490,0,0
2021-03-05 23:00:00,1.1916,1.19199,1.19096,1.19102,1898,0,0
2021-03-08 00:00:00,1.19169,1.19209,1.19168,1.19183,259,16,0
2021-03-08 01:00:00,1.19189,1.19321,1.19183,1.19263,3768,0,0
2021-03-08 02:00:00,1.19263,1.19323,1.19185,1.19262,2426,0,0
2021-03-08 03:00:00,1.19262,1.19289,1.19199,1.19274,2960,0,0
2021-03-08 04:00:00,1.19274,1.19285,1.19009,1.19057,3242,0,0
2021-03-08 05:00:00,1.19057,1.19063,1.18988,1.19018,2663,0,0
2021-03-08 06:00:00,1.19018,1.19062,1.18993,1.19057,1703,0,0
2021-03-08 07:00:00,1.19057,1.19133,1.19057,1.19123,2904,0,0
2021-03-08 08:00:00,1.19123,1.19147,1.18889,1.18924,3010,0,0
2021-03-08 09:00:00,1.18924,1.1898,1.18788,1.18863,5676,0,0
2021-03-08 10:00:00,1.18863,1.18966,1.1875499999999999,1.18777,6370,0,0
2021-03-08 11:00:00,1.18777,1.18796,1.18654,1.18722,5175,0,0
2021-03-08 12:00:00,1.18722,1.18808,1.18669,1.18784,4080,0,0
2021-03-08 13:00:00,1.18784,1.1880600000000001,1.18671,1.18677,3798,0,0
2021-03-08 14:00:00,1.18677,1.18734,1.18587,1.18619,4953,0,0
2021-03-08 15:00:00,1.18619,1.1875,1.18567,1.18712,7250,0,0
2021-03-08 16:00:00,1.18713,1.18874,1.18708,1.18793,9274,0,0
2021-03-08 17:00:00,1.18792,1.18871,1.18578,1.18578,10602,0,0
2021-03-08 18:00:00,1.18578,1.18634,1.18458,1.18487,6110,0,0
2021-03-08 19:00:00,1.18486,1.18602,1.18462,1.18567,3949,0,0
2021-03-08 20:00:00,1.18568,1.1865,1.18526,1.18536,3602,0,0
2021-03-08 21:00:00,1.18536,1.18588,1.1852,1.18582,3645,0,0
2021-03-08 22:00:00,1.18582,1.18584,1.18452,1.18453,2643,0,0
2021-03-08 23:00:00,1.18453,1.18476,1.18442,1.18465,1281,0,0
2021-03-09 00:00:00,1.18466,1.18497,1.18452,1.1848,261,0,0
2021-03-09 01:00:00,1.1848,1.1852800000000001,1.18465,1.1851,1464,0,0
2021-03-09 02:00:00,1.1851,1.18525,1.18357,1.18443,2666,0,0
2021-03-09 03:00:00,1.18443,1.18491,1.18356,1.18384,4326,0,0
2021-03-09 04:00:00,1.18384,1.18564,1.18381,1.18549,3596,0,0
2021-03-09 05:00:00,1.18549,1.18672,1.1853799999999999,1.1865,3082,0,0
2021-03-09 06:00:00,1.1865,1.18665,1.18554,1.18576,2264,0,0
2021-03-09 07:00:00,1.18576,1.18596,1.18537,1.18542,2162,0,0
2021-03-09 08:00:00,1.1854,1.18628,1.18533,1.18575,2148,0,0
2021-03-09 09:00:00,1.18576,1.18884,1.18514,1.18807,5789,0,0
2021-03-09 10:00:00,1.18809,1.18986,1.18765,1.1896200000000001,5571,0,0
2021-03-09 11:00:00,1.1896200000000001,1.19091,1.18921,1.19056,5029,0,0
2021-03-09 12:00:00,1.19056,1.19098,1.18978,1.1901,4365,0,0
2021-03-09 13:00:00,1.1901,1.19159,1.19003,1.19042,4729,0,0
2021-03-09 14:00:00,1.19042,1.19046,1.1887,1.18878,4635,0,0
2021-03-09 15:00:00,1.18878,1.18979,1.18824,1.18918,5689,0,0
2021-03-09 16:00:00,1.18919,1.19076,1.18834,1.19018,8372,0,0
2021-03-09 17:00:00,1.19018,1.19092,1.18821,1.18858,7769,0,0
2021-03-09 18:00:00,1.18857,1.18934,1.18815,1.18852,5006,0,0
2021-03-09 19:00:00,1.18852,1.18914,1.18834,1.18864,3228,0,0
2021-03-09 20:00:00,1.18864,1.18956,1.18848,1.18943,4140,0,0
2021-03-09 21:00:00,1.18942,1.19045,1.1894,1.19003,2032,0,0
2021-03-09 22:00:00,1.19003,1.1905000000000001,1.18993,1.19018,1901,0,0
2021-03-09 23:00:00,1.19018,1.19029,1.18985,1.19008,1082,0,0
2021-03-10 00:00:00,1.19001,1.19014,1.18896,1.19013,349,2,0
2021-03-10 01:00:00,1.19013,1.1902300000000001,1.18964,1.18969,1118,0,0
2021-03-10 02:00:00,1.18969,1.18969,1.18878,1.18936,1830,0,0
2021-03-10 03:00:00,1.18936,1.18978,1.1884000000000001,1.18851,2735,0,0
2021-03-10 04:00:00,1.18852,1.18856,1.18772,1.18814,2573,0,0
2021-03-10 05:00:00,1.18814,1.18832,1.18788,1.18803,1753,0,0
2021-03-10 06:00:00,1.18803,1.18822,1.18772,1.18797,1137,0,0
2021-03-10 07:00:00,1.18797,1.18802,1.18706,1.18752,1802,0,0
2021-03-10 08:00:00,1.18752,1.18791,1.18689,1.18776,2024,0,0
2021-03-10 09:00:00,1.18776,1.18864,1.18747,1.18844,3282,0,0
2021-03-10 10:00:00,1.1884299999999999,1.1897,1.18719,1.18963,5035,0,0
2021-03-10 11:00:00,1.18963,1.19016,1.1893,1.19,3532,0,0
2021-03-10 12:00:00,1.19,1.19048,1.18933,1.18953,3593,0,0
2021-03-10 13:00:00,1.18953,1.18974,1.18852,1.18912,3270,0,0
2021-03-10 14:00:00,1.18912,1.18963,1.18822,1.18853,4342,0,0
2021-03-10 15:00:00,1.18853,1.1913,1.18819,1.19107,9650,0,0
2021-03-10 16:00:00,1.19108,1.1925,1.19058,1.19131,8894,0,0
2021-03-10 17:00:00,1.19131,1.19163,1.18861,1.1896,8092,0,0
2021-03-10 18:00:00,1.1896,1.1899899999999999,1.18884,1.18988,5621,0,0
2021-03-10 19:00:00,1.1898900000000001,1.19122,1.18971,1.19083,3681,0,0
2021-03-10 20:00:00,1.19083,1.19223,1.19017,1.19144,7031,0,0
2021-03-10 21:00:00,1.19144,1.19239,1.19128,1.19208,3332,0,0
2021-03-10 22:00:00,1.19208,1.19275,1.19191,1.19268,2037,0,0
2021-03-10 23:00:00,1.19268,1.19298,1.19241,1.19291,1184,0,0
2021-03-11 00:00:00,1.19286,1.19286,1.19186,1.19253,660,3,0
2021-03-11 01:00:00,1.19254,1.19285,1.19244,1.19244,983,0,0
2021-03-11 02:00:00,1.19244,1.19291,1.19157,1.19191,1575,0,0
2021-03-11 03:00:00,1.19191,1.1924299999999999,1.19174,1.19218,1926,0,0
2021-03-11 04:00:00,1.19217,1.19347,1.19217,1.19287,1997,0,0
2021-03-11 05:00:00,1.19287,1.19333,1.19276,1.19317,1522,0,0
2021-03-11 06:00:00,1.19317,1.1932,1.19251,1.19276,1830,0,0
2021-03-11 07:00:00,1.19276,1.19291,1.19256,1.19273,2018,0,0
2021-03-11 08:00:00,1.19273,1.19321,1.19191,1.19301,2098,0,0
2021-03-11 09:00:00,1.19301,1.19464,1.19246,1.19384,3908,0,0
2021-03-11 10:00:00,1.19384,1.19688,1.19368,1.19647,5773,0,0
2021-03-11 11:00:00,1.19647,1.19688,1.19569,1.19638,4094,0,0
2021-03-11 12:00:00,1.19638,1.19665,1.1960899999999999,1.1963300000000001,2875,0,0
2021-03-11 13:00:00,1.1963300000000001,1.1968,1.19616,1.19644,3342,0,0
2021-03-11 14:00:00,1.19644,1.19649,1.19427,1.19544,5844,0,0
2021-03-11 15:00:00,1.19544,1.19737,1.19437,1.1957200000000001,9970,0,0
2021-03-11 16:00:00,1.1957200000000001,1.19657,1.19314,1.19369,8788,0,0
2021-03-11 17:00:00,1.19369,1.19662,1.19281,1.19586,7958,0,0
2021-03-11 18:00:00,1.19585,1.1978900000000001,1.19558,1.19772,4801,0,0
2021-03-11 19:00:00,1.19772,1.19782,1.19654,1.19723,3706,0,0
2021-03-11 20:00:00,1.19723,1.19899,1.19715,1.19858,5511,0,0
2021-03-11 21:00:00,1.19858,1.199,1.1981,1.19818,2368,0,0
2021-03-11 22:00:00,1.19818,1.199,1.19812,1.19893,2123,0,0
2021-03-11 23:00:00,1.19893,1.199,1.19835,1.19852,1054,0,0
2021-03-12 00:00:00,1.19856,1.19864,1.19776,1.19822,219,2,0
2021-03-12 01:00:00,1.19822,1.19875,1.19809,1.19809,1330,0,0
